# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 23 19:49:13 2017
#
# CONSTRAINT:  where (pl_radj not null
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj
87,CoRoT-7,b,Transit,2,0.85359159,0.017016,0.000000,80.780,0.01800,Mass,0.141
89,CoRoT-8,b,Transit,1,6.21229000,0.063000,0.000000,88.400,0.22000,Mass,0.570
90,CoRoT-9,b,Transit,1,95.27380000,0.407000,0.110000,89.990,0.84000,Mass,1.050
94,EPIC 211351816,b,Transit,1,8.40610000,,,,1.10000,Mass,1.310
95,EPIC 211391664,b,Transit,1,10.13675000,0.094300,0.000000,89.000,0.10131,Mass,0.384
96,EPIC 211822797,b,Transit,1,21.16961900,,0.180000,89.500,,,0.196
97,EPIC 211913977,b,Transit,1,14.67728600,,0.100000,89.400,,,0.178
98,EPIC 211969807,b,Transit,1,1.97419000,,0.180000,88.000,,,0.170
99,EPIC 211970147,b,Transit,1,9.91561500,,0.100000,89.000,,,0.116
100,EPIC 211990866,b,Transit,1,1.67391600,,0.240000,85.100,,,0.312
101,EPIC 220674823,b,Transit,2,0.57130800,,0.000000,80.200,,,0.130
102,EPIC 220674823,c,Transit,2,13.34124500,,0.000000,87.200,,,0.226
105,GJ 1132,b,Transit,1,1.62893000,,0.000000,,0.00510,Mass,0.103
106,GJ 1214,b,Transit,1,1.58040456,0.014110,,88.170,0.01970,Mass,0.254
127,GJ 3470,b,Radial Velocity,1,3.33664870,0.031000,0.017000,88.880,0.04300,Mass,0.346
132,GJ 436,b,Radial Velocity,1,2.64388312,0.029100,0.138270,86.440,0.07000,Mass,0.372
158,GQ Lup,b,Imaging,1,,100.000000,,,20.00000,Mass,3.000
160,GU Psc,b,Imaging,1,,2000.000000,,,11.30000,Mass,1.265
161,HAT-P-1,b,Transit,1,4.46529976,0.055610,,85.634,0.52500,Mass,1.319
162,HAT-P-11,b,Transit,1,4.88781620,0.053000,0.198000,88.500,0.08100,Mass,0.422
163,HAT-P-12,b,Transit,1,3.21305980,0.038400,0.000000,89.000,0.21100,Mass,0.959
164,HAT-P-13,b,Transit,2,2.91625000,,0.013300,83.400,0.85100,Mass,1.272
166,HAT-P-14,b,Transit,1,4.62766900,0.060600,0.107000,83.500,2.23200,Mass,1.150
167,HAT-P-15,b,Transit,1,10.86350200,0.096400,0.190000,89.100,1.94600,Mass,1.072
168,HAT-P-16,b,Transit,1,2.77596000,0.041300,0.036000,86.600,4.19300,Mass,1.289
169,HAT-P-17,b,Transit,2,10.33852300,0.088200,0.342000,89.200,0.53400,Mass,1.010
171,HAT-P-18,b,Transit,1,5.50802300,0.055900,0.084000,88.800,0.19700,Mass,0.995
172,HAT-P-19,b,Transit,1,4.00877800,0.046600,0.067000,88.200,0.29200,Mass,1.132
173,HAT-P-2,b,Transit,1,5.63347290,0.068780,0.517100,86.720,9.09000,Mass,1.157
174,HAT-P-20,b,Transit,1,2.87531700,0.036100,0.015000,86.800,7.24600,Mass,0.867
175,HAT-P-21,b,Transit,1,4.12448100,0.049400,0.228000,87.200,4.06300,Mass,1.024
176,HAT-P-22,b,Transit,1,3.21222000,0.041400,0.016000,86.900,2.14700,Mass,1.080
177,HAT-P-23,b,Transit,1,1.21288287,0.023020,0.000000,85.740,2.07000,Mass,1.224
178,HAT-P-24,b,Transit,1,3.35524000,0.046500,0.067000,88.600,0.68500,Mass,1.242
179,HAT-P-25,b,Transit,1,3.65283600,0.046600,0.032000,87.600,0.56700,Mass,1.190
180,HAT-P-26,b,Transit,1,4.23451600,0.047900,0.124000,88.600,0.05900,Mass,0.565
181,HAT-P-27,b,Transit,1,3.03957700,0.040000,0.000000,85.000,0.62000,Mass,1.020
182,HAT-P-28,b,Transit,1,3.25721500,0.043400,0.051000,88.000,0.62600,Mass,1.212
183,HAT-P-29,b,Transit,1,5.72318600,0.066700,0.095000,87.100,0.77800,Mass,1.107
184,HAT-P-3,b,Transit,1,2.89973600,0.038660,0.000000,87.070,0.59100,Mass,0.827
185,HAT-P-30,b,Transit,1,2.81059500,0.041900,0.035000,83.600,0.71100,Mass,1.340
186,HAT-P-31,b,Transit,1,5.00542500,0.055000,0.245000,87.100,2.17100,Mass,1.070
187,HAT-P-32,b,Transit,1,2.15000805,0.034300,0.007200,88.900,,,1.789
188,HAT-P-33,b,Transit,1,3.47447400,0.049900,0.000000,87.200,0.76200,Mass,1.686
189,HAT-P-34,b,Transit,1,5.45265400,0.067700,0.441000,87.100,3.32800,Mass,1.197
190,HAT-P-35,b,Transit,1,3.64670600,0.049800,0.025000,87.300,1.05400,Mass,1.332
191,HAT-P-36,b,Transit,1,1.32734700,0.023800,0.063000,86.000,1.83200,Mass,1.264
192,HAT-P-37,b,Transit,1,2.79743600,0.037900,0.058000,86.900,1.16900,Mass,1.178
193,HAT-P-38,b,Transit,1,4.64038200,0.052300,0.067000,88.300,0.26700,Mass,0.825
194,HAT-P-39,b,Transit,1,3.54387000,0.050900,0.000000,87.000,0.59900,Mass,1.571
195,HAT-P-4,b,Transit,1,3.05653600,0.044380,0.000000,89.910,0.67100,Mass,1.274
196,HAT-P-40,b,Transit,1,4.45724300,0.060800,0.000000,88.300,0.61500,Mass,1.730
197,HAT-P-41,b,Transit,1,2.69404700,0.042600,0.000000,87.700,0.80000,Mass,1.685
198,HAT-P-42,b,Transit,1,4.64187800,0.057500,0.000000,85.900,1.04400,Mass,1.280
199,HAT-P-43,b,Transit,1,3.33268700,0.044300,0.000000,88.700,0.66200,Mass,1.281
200,HAT-P-44,b,Transit,2,4.30121900,0.050700,0.044000,89.100,0.35200,Mass,1.242
202,HAT-P-45,b,Transit,1,3.12899200,0.045200,0.049000,87.800,0.89200,Mass,1.426
203,HAT-P-46,b,Transit,1,4.46312900,0.057700,0.123000,85.500,0.49300,Mass,1.284
204,HAT-P-49,b,Transit,1,2.69154800,0.043800,0.000000,86.200,1.73000,Mass,1.413
205,HAT-P-5,b,Transit,1,2.78849100,0.040750,0.000000,86.750,1.06000,Mass,1.260
206,HAT-P-50,b,Transit,1,3.12201090,0.045300,0.115000,83.650,1.35000,Mass,1.288
207,HAT-P-51,b,Transit,1,4.21802780,0.050690,0.123000,88.480,0.30900,Mass,1.293
208,HAT-P-52,b,Transit,1,2.75359530,0.036940,0.047000,87.020,0.81800,Mass,1.009
209,HAT-P-53,b,Transit,1,1.96162410,0.031590,0.134000,86.200,1.48400,Mass,1.318
210,HAT-P-54,b,Transit,1,3.79984700,0.041170,0.074000,87.040,0.76000,Mass,0.944
211,HAT-P-55,b,Transit,1,3.58524670,0.046040,0.139000,87.700,0.58200,Mass,1.182
212,HAT-P-56,b,Transit,1,2.79083270,0.042300,0.246000,82.130,2.18000,Mass,1.466
213,HAT-P-57,b,Transit,1,2.46529500,0.040600,0.000000,88.260,1.85000,Mass,1.413
214,HAT-P-6,b,Transit,1,3.85298500,0.052350,0.000000,85.510,1.05700,Mass,1.330
215,HAT-P-65,b,Transit,1,2.60545520,0.039510,0.304000,84.200,0.52700,Mass,1.890
216,HAT-P-66,b,Transit,1,2.97208600,0.043630,0.090000,86.200,0.78300,Mass,1.590
217,HAT-P-67,b,Transit,1,4.81010250,0.065050,0.000000,88.800,0.34000,Mass,2.085
218,HAT-P-7,b,Transit,1,2.20473720,0.036760,0.001600,82.200,1.68200,Mass,1.491
219,HAT-P-8,b,Transit,1,3.07637760,0.048700,0.000000,87.500,1.52000,Mass,1.500
220,HAT-P-9,b,Transit,1,3.92289000,0.053000,0.000000,86.500,0.78000,Mass,1.400
221,HATS-1,b,Transit,1,3.44645900,0.044400,0.120000,85.600,1.85500,Mass,1.302
222,HATS-10,b,Transit,1,3.31284600,0.044910,0.501000,87.790,0.52600,Mass,0.969
223,HATS-11,b,Transit,1,3.61916130,0.046140,0.340000,88.310,0.85000,Mass,1.510
224,HATS-12,b,Transit,1,3.14283300,0.047950,0.085000,82.700,2.38000,Mass,1.350
225,HATS-13,b,Transit,1,3.04404990,0.040570,0.181000,88.550,0.54300,Mass,1.212
226,HATS-14,b,Transit,1,2.76676410,0.038150,0.142000,88.830,1.07100,Mass,1.039
227,HATS-15,b,Transit,1,1.74748753,0.027120,0.126000,87.130,2.17000,Mass,1.105
228,HATS-16,b,Transit,1,2.68650200,0.037440,0.000000,83.530,3.27000,Mass,1.300
229,HATS-17,b,Transit,1,16.25461100,0.130800,0.029000,89.080,1.33800,Mass,0.777
230,HATS-18,b,Transit,1,0.83784340,0.017610,0.166000,85.500,1.98000,Mass,1.337
231,HATS-2,b,Transit,1,1.35413300,0.023000,0.000000,87.200,1.34500,Mass,1.168
232,HATS-22,b,Transit,1,4.72281240,0.050250,0.079000,87.960,2.74000,Mass,0.953
233,HATS-23,b,Transit,1,2.16051560,0.033970,0.114000,81.020,1.47000,Mass,1.860
234,HATS-24,b,Transit,1,1.34849540,0.025470,0.242000,86.600,2.44000,Mass,1.487
235,HATS-25,b,Transit,1,4.29864320,0.051630,0.176000,86.930,0.61300,Mass,1.260
236,HATS-26,b,Transit,1,3.30238810,0.047350,0.245000,86.200,0.65000,Mass,1.750
237,HATS-27,b,Transit,1,4.63703800,0.061100,0.581000,87.300,0.53000,Mass,1.500
238,HATS-28,b,Transit,1,3.18107810,0.041310,0.202000,86.170,0.67200,Mass,1.194
239,HATS-29,b,Transit,1,4.60587490,0.054750,0.158000,87.370,0.65300,Mass,1.251
240,HATS-3,b,Transit,1,3.54785100,0.048500,0.000000,86.200,1.07100,Mass,1.381
241,HATS-30,b,Transit,1,3.17435160,0.043540,0.096000,86.840,0.70600,Mass,1.175
242,HATS-31,b,Transit,1,3.37796000,0.047800,0.233000,85.000,0.88000,Mass,1.640
243,HATS-32,b,Transit,1,2.81265480,0.040240,0.471000,87.100,0.92000,Mass,1.249
244,HATS-33,b,Transit,1,2.54955510,0.037270,0.080000,87.620,1.19200,Mass,1.230
245,HATS-34,b,Transit,1,2.10616070,0.031660,0.108000,82.280,0.94100,Mass,1.430
246,HATS-35,b,Transit,1,1.82099930,0.031990,0.306000,86.900,1.22200,Mass,1.464
247,HATS-4,b,Transit,1,2.51672900,0.036200,0.013000,88.500,1.32300,Mass,1.020
248,HATS-5,b,Transit,1,4.76338700,0.054200,0.019000,89.300,0.23700,Mass,0.912
249,HATS-6,b,Transit,1,3.32527250,0.036230,0.000000,88.210,0.31900,Mass,0.998
250,HATS-8,b,Transit,1,3.58389300,0.046670,0.376000,87.800,0.13800,Mass,0.873
251,HATS-9,b,Transit,1,1.91530730,0.030480,0.129000,86.500,0.83700,Mass,1.065
252,HD 100546,b,Imaging,1,,53.000000,,,,,6.900
276,HD 106315,b,Transit,2,9.55210000,0.090120,,88.400,,,0.199
277,HD 106315,c,Transit,2,21.05760000,0.152600,,89.420,,,0.352
301,HD 114762,b,Radial Velocity,1,83.91510000,0.353000,0.335400,,10.98000,Msini,1.110
371,HD 149026,b,Radial Velocity,1,2.87589110,,,84.550,0.36800,Mass,0.813
425,HD 17156,b,Radial Velocity,1,21.21663000,0.161400,0.681900,87.890,3.22000,Mass,1.020
487,HD 209458,b,Radial Velocity,1,3.52474859,,,86.929,,,1.320
505,HD 219134,b,Radial Velocity,6,3.09292600,0.038760,0.000000,85.050,0.01491,Mass,0.143
506,HD 219134,c,Radial Velocity,6,6.76458000,0.065300,0.062000,87.280,0.01372,Mass,0.135
507,HD 219134,d,Radial Velocity,6,46.85900000,0.237000,0.138000,,0.05088,Mass,0.144
508,HD 219134,f,Radial Velocity,6,22.71700000,0.146300,0.148000,,0.02297,Mass,0.117
554,HD 3167,b,Transit,2,0.95962800,,,88.400,,,0.139
555,HD 3167,c,Transit,2,29.84540000,,,89.270,,,0.254
621,HD 63454,b,Radial Velocity,1,2.81804900,0.036800,0.000000,,0.39800,Msini,1.098
658,HD 80606,b,Radial Velocity,1,111.43570000,0.449000,0.933200,89.320,3.94000,Mass,0.980
692,HD 97658,b,Radial Velocity,1,9.49090000,0.079600,0.063000,89.450,0.02473,Mass,0.209
702,HIP 116454,b,Radial Velocity,1,9.12050000,0.090600,0.205000,88.430,0.03700,Mass,0.226
707,HIP 41378,b,Transit,5,15.57120000,,,88.400,,,0.259
708,HIP 41378,c,Transit,5,31.69780000,,,89.580,,,0.228
709,HIP 41378,d,Transit,5,156.00000000,,,,,,0.353
710,HIP 41378,e,Transit,5,131.00000000,,,,,,0.492
711,HIP 41378,f,Transit,5,324.00000000,,,,,,0.910
732,HN Peg,b,Imaging,1,,773.000000,,,21.99870,Mass,1.051
733,HR 2562,b,Imaging,1,,20.300000,,,30.00000,Mass,1.110
735,HR 8799,b,Imaging,4,170000.00000000,68.000000,,,7.00000,Mass,1.200
736,HR 8799,c,Imaging,4,69000.00000000,38.000000,,,10.00000,Mass,1.200
737,HR 8799,d,Imaging,4,37000.00000000,24.000000,,,10.00000,Mass,1.200
739,K2-10,b,Transit,1,19.30440000,,0.310000,,0.08495,Mass,0.343
740,K2-105,b,Transit,1,8.26690200,0.081000,,88.950,0.09439,Mass,0.369
741,K2-107,b,Transit,1,3.31392000,0.048000,0.000000,81.900,0.84000,Mass,1.440
742,K2-108,b,Transit,1,4.73401000,0.057300,0.180000,,0.18689,Mass,0.471
743,K2-11,b,Transit,1,39.93767000,0.225700,,,,,0.674
744,K2-12,b,Transit,1,8.28212000,0.080200,,,,,0.208
745,K2-13,b,Transit,1,39.91488000,0.211400,,,,,0.169
746,K2-14,b,Transit,1,8.36802000,0.062700,,,,,0.429
747,K2-15,b,Transit,1,11.81040000,0.091000,,,,,0.221
748,K2-16,b,Transit,2,7.61880000,0.066700,,87.970,,,0.180
749,K2-16,c,Transit,2,19.07863000,0.122900,,87.830,,,0.227
750,K2-17,b,Transit,1,17.96753000,0.119000,,,,,0.199
751,K2-18,b,Transit,1,32.94488000,0.149100,,,,,0.200
752,K2-19,b,Transit,3,7.91940000,0.074000,,89.470,,,0.691
753,K2-19,c,Transit,3,11.90715000,0.097100,,87.990,,,0.434
754,K2-19,d,Transit,3,2.50856000,0.034400,,85.830,,,0.102
755,K2-21,b,Transit,2,9.32414000,0.073100,,88.300,,,0.142
756,K2-21,c,Transit,2,15.50120000,0.102600,,89.080,,,0.171
757,K2-22,b,Transit,1,0.38107800,0.008800,,,1.40000,Mass,0.223
758,K2-24,b,Transit,2,20.88508000,0.154200,,88.950,,,0.520
759,K2-24,c,Transit,2,42.36342000,0.247100,,89.430,,,0.723
760,K2-25,b,Transit,1,3.48455200,,0.270000,88.300,,,0.306
761,K2-26,b,Transit,1,14.56650000,0.096200,,88.400,,,0.238
762,K2-27,b,Transit,1,6.77131500,0.067020,0.251000,,0.09722,Mass,0.400
763,K2-28,b,Transit,1,2.26045500,0.021400,0.000000,88.900,,,0.207
764,K2-29,b,Transit,1,3.25883210,0.042170,0.066000,86.656,0.73000,Mass,1.190
765,K2-3,b,Transit,3,10.05449000,0.076900,,88.800,,,0.194
766,K2-3,c,Transit,3,24.64354000,0.139900,,89.120,,,0.165
767,K2-3,d,Transit,3,44.55983000,0.207600,,89.380,,,0.135
768,K2-30,b,Transit,1,4.09850300,0.048390,0.000000,86.920,0.57900,Mass,1.039
769,K2-31,b,Transit,1,1.25785000,0.022000,0.000000,79.900,1.77400,Mass,1.060
770,K2-32,b,Transit,3,8.99213000,0.080360,0.000000,,0.05191,Mass,0.458
771,K2-32,c,Transit,3,20.66020000,0.139900,0.000000,,0.03807,Mass,0.269
772,K2-32,d,Transit,3,31.71540000,0.186200,0.000000,,0.03241,Mass,0.306
773,K2-33,b,Transit,1,5.42486500,,0.000000,89.100,3.70000,Mass,0.450
774,K2-34,b,Transit,1,2.99560700,0.044190,0.000000,82.060,1.76000,Mass,1.350
775,K2-35,b,Transit,2,2.39984000,0.032000,,86.100,,,0.125
776,K2-35,c,Transit,2,5.60912000,0.056400,,87.850,,,0.186
777,K2-36,b,Transit,2,1.42266000,0.023000,,87.750,,,0.118
778,K2-36,c,Transit,2,5.34059000,0.055500,,88.330,,,0.250
779,K2-37,b,Transit,3,4.44117000,0.051100,,87.280,,,0.144
780,K2-37,c,Transit,3,6.42904000,0.065400,,87.370,,,0.245
781,K2-37,d,Transit,3,14.09189000,0.110300,,88.340,,,0.244
782,K2-38,b,Transit,2,4.01593000,0.050600,,87.280,0.03776,Mass,0.138
783,K2-38,c,Transit,2,10.56103000,0.096400,,88.610,0.03115,Mass,0.216
784,K2-39,b,Transit,1,4.60497000,0.057400,0.152000,,0.12522,Mass,0.509
785,K2-4,b,Transit,1,10.00329000,0.077700,,,,,0.211
786,K2-42,b,Transit,1,6.68796000,0.061700,,,,,0.192
787,K2-43,b,Transit,1,3.47114000,0.037840,,,,,0.368
788,K2-44,b,Transit,1,5.65688000,0.065100,,,,,0.243
789,K2-45,b,Transit,1,1.72926840,0.022400,,,,,0.599
790,K2-46,b,Transit,1,19.15410000,0.138210,,,,,0.183
791,K2-47,b,Transit,1,31.63720000,0.177900,,,,,0.169
792,K2-48,b,Transit,1,20.50650000,0.134400,,,,,0.200
793,K2-49,b,Transit,1,2.77065000,0.030900,,,,,0.172
794,K2-5,b,Transit,2,5.73594000,0.053200,,87.350,,,0.170
795,K2-5,c,Transit,2,10.93241000,0.081800,,86.950,,,0.202
796,K2-50,b,Transit,1,8.75290000,0.070500,,,,,0.142
797,K2-51,b,Transit,1,13.01060000,0.108600,,,,,1.151
798,K2-52,b,Transit,1,3.53482000,0.048500,,,,,0.990
799,K2-53,b,Transit,1,12.20540000,0.097500,,,,,0.223
800,K2-54,b,Transit,1,9.78430000,0.067100,,,,,0.103
801,K2-55,b,Transit,1,2.84925800,0.034860,,,,,0.341
802,K2-57,b,Transit,1,9.00630000,0.074600,,,,,0.187
803,K2-58,b,Transit,3,7.05254000,0.069200,,,,,0.239
804,K2-58,c,Transit,3,2.53726000,0.035000,,,,,0.145
805,K2-58,d,Transit,3,22.88270000,0.151700,,,,,0.153
806,K2-59,b,Transit,2,20.69210000,0.135400,,,,,0.215
807,K2-59,c,Transit,2,11.29540000,0.090500,,,,,0.205
808,K2-6,b,Transit,1,30.94191000,0.189800,,,,,0.223
809,K2-60,b,Transit,1,3.00265000,0.045000,0.000000,88.490,0.42600,Mass,0.683
810,K2-61,b,Transit,1,2.57302000,0.039200,,,,,0.221
811,K2-62,b,Transit,2,6.67202000,0.063600,,,,,0.191
812,K2-62,c,Transit,2,16.19660000,0.114800,,,,,0.191
813,K2-63,b,Transit,1,20.25700000,0.162700,,,,,0.287
814,K2-64,b,Transit,1,6.53044000,0.061900,,,,,0.185
815,K2-65,b,Transit,1,12.64750000,0.101400,,,,,0.141
816,K2-66,b,Transit,1,5.06965000,0.060690,,,,,0.222
817,K2-67,b,Transit,1,24.38724000,0.161100,,,,,1.552
818,K2-68,b,Transit,1,8.05428000,0.070800,,,,,0.141
819,K2-69,b,Transit,1,7.06599000,0.059100,,,,,0.207
820,K2-7,b,Transit,1,28.67992000,0.181400,,,,,0.238
821,K2-70,b,Transit,1,13.97896000,0.111200,,,,,0.258
822,K2-71,b,Transit,1,6.98541000,0.055900,,,,,0.192
823,K2-72,b,Transit,4,5.57739000,0.037000,,,,,0.067
824,K2-72,c,Transit,4,15.18710000,0.072200,,,,,0.077
825,K2-72,d,Transit,4,7.75990000,0.046100,,,,,0.065
826,K2-72,e,Transit,4,24.16690000,0.098000,,,,,0.073
827,K2-73,b,Transit,1,7.49543000,0.076190,,,,,0.219
828,K2-74,b,Transit,1,19.56660000,0.140200,,,,,0.206
829,K2-75,b,Transit,2,7.81420000,0.081000,,,,,0.238
830,K2-75,c,Transit,2,18.31100000,0.142900,,,,,0.247
831,K2-76,b,Transit,1,23.97260000,0.163800,,,,,0.990
832,K2-77,b,Transit,1,8.19979600,,0.140000,88.700,1.90000,Mass,0.205
833,K2-78,b,Transit,1,2.29016000,0.032800,,,,,0.127
834,K2-79,b,Transit,1,10.99573000,0.098700,,,,,0.329
835,K2-8,b,Transit,2,10.35239000,0.085600,,86.420,,,0.319
836,K2-8,c,Transit,2,5.06416000,0.053200,,86.700,,,0.215
837,K2-80,b,Transit,2,19.09180000,0.135000,,,,,0.179
838,K2-80,c,Transit,2,5.60500000,0.059600,,,,,0.131
839,K2-81,b,Transit,1,6.10224000,0.057900,,,,,0.162
840,K2-82,b,Transit,1,7.19583400,0.039200,,,,,0.232
841,K2-83,b,Transit,2,2.74697000,0.030140,,,,,0.111
842,K2-83,c,Transit,2,9.99767000,0.071310,,,,,0.132
843,K2-84,b,Transit,2,6.42150000,0.066500,,,,,0.215
844,K2-84,c,Transit,2,27.86000000,0.176800,,,,,0.181
845,K2-85,b,Transit,1,0.68453300,0.012630,,,,,0.090
846,K2-86,b,Transit,1,8.77683000,0.077000,,,,,0.175
847,K2-87,b,Transit,1,9.72739000,0.087600,,,,,0.410
848,K2-88,b,Transit,1,4.61220000,0.034500,,,,,0.110
849,K2-89,b,Transit,1,1.09602600,0.014620,,,,,0.055
850,K2-9,b,Transit,1,18.44980000,0.091000,,87.983,,,0.201
851,K2-90,b,Transit,2,13.73110000,0.092600,,,,,0.182
852,K2-90,c,Transit,2,2.90032000,0.032800,,,,,0.091
853,K2-91,b,Transit,1,1.41954900,0.016400,,,,,0.098
854,K2-92,b,Transit,1,0.70181800,0.015660,,,,,0.228
855,K2-95,b,Transit,1,10.13389000,0.065300,,88.770,0.03458,Mass,0.310
856,K2-99,b,Transit,1,18.24900000,0.159000,0.190000,87.700,0.97000,Mass,1.290
857,KELT-1,b,Transit,1,1.21751400,0.024660,0.009900,87.800,27.23000,Mass,1.110
858,KELT-10,b,Transit,1,4.16627390,0.052500,,88.610,0.67900,Mass,1.399
859,KELT-14,b,Transit,1,1.71005660,0.030050,0.000000,78.300,1.28400,Mass,1.743
860,KELT-15,b,Transit,1,3.32944100,0.046130,0.000000,88.300,0.91000,Mass,1.443
861,KELT-16,b,Transit,1,0.96899510,0.020440,0.000000,84.400,2.75000,Mass,1.415
862,KELT-17,b,Transit,1,3.08017160,0.048810,,84.870,1.31000,Mass,1.525
863,KELT-2 A,b,Transit,1,4.11379120,0.054960,0.000000,88.600,1.52200,Mass,1.286
864,KELT-3,b,Transit,1,2.70339040,0.041220,0.000000,84.230,1.47700,Mass,1.345
865,KELT-4 A,b,Transit,1,2.98959320,0.043170,0.000000,83.160,0.90200,Mass,1.699
866,KELT-6,b,Transit,2,7.84558210,0.080000,0.029000,88.810,0.44200,Msin(i)/sin(i),1.180
868,KELT-7,b,Transit,1,2.73477490,0.044150,0.000000,83.760,1.28000,Mass,1.533
869,KELT-8,b,Transit,1,3.24406000,0.045710,0.035000,82.650,0.86700,Mass,1.860
873,KIC 10525077,b,Transit,1,854.08300000,,,89.861,,,0.491
874,KIC 3558849,b,Transit,1,1322.30000000,,,89.973,,,0.616
875,KIC 5437945,b,Transit,2,440.78130000,,,89.904,,,0.571
876,KIC 5951458,b,Transit,1,1320.10000000,,,89.799,,,0.589
878,KOI-7892,b,Transit,2,31.80990000,,,89.300,,,0.366
879,KOI-7892,c,Transit,2,75.20000000,,,89.701,,,0.214
